year,liquidity
1344,105.6
1345,120.8
1346,144.3
1347,175.3
1348,205.7
1349,335.7
1350,296.3
1351,399.4
1352,518
1353,810.1
1354,1145.5
1355,1593.5
1356,2097
1357,2578.6
1358,3550
1359,4508.1
1360,5236.1
1361,6430.7
1362,7514.4
1363,7966.9
1364,9002.1
1365,10722.6
1366,12668.2
1367,15687.6
1368,18753.3
1369,22969.5
1370,28628.4
1371,35866
1372,48135
1373,61844
1374,85072.2
1375,116552.6
1376,134286.3
1377,160401.5
1378,192689.2
1379,249110.7
1380,320957.3
1381,417524
1382,526596.4
1383,685867.2
1384,921019.4
1385,1284199.4
1386,1640293
1387,1901366
1388,2355889.1
1389,2948874.2
1390,3542551.9
1391,4606935.9
1392,6395504.8
1393,7823847.9
1394,10172800
1395,12533900
1396,15299800
1397,18828900
1398,24721500
1399,34761700
1400,48324400